date,Baseline_V47+I3,Idea_A_VIX_calls,Idea_B_CDaR,Idea_B2_CDaR_comb,Idea_C_VVIX,Idea_D_Dyn_strike,Idea_E_Gap_regime,Idea_G_D+A_combo
2011-04-30,922614.8629736037,1162409.4349479452,889468.9318643706,889225.6669741656,918214.7143296179,969597.701611487,848456.2919912393,1222704.730360669
2011-05-31,1098112.2903361479,1379417.7250639177,1058661.42175776,1058371.8899365459,1092875.151407699,1154032.0849746154,1009987.3642242288,1450969.4514045771
2011-06-30,984693.3423944428,1232694.168771238,949317.1736173987,949057.5450693642,979997.1248535103,1034837.4430352156,905670.4343288199,1296635.2054106423
2011-07-31,995112.5979992547,1246390.7924751278,959362.1060644537,959099.7304459133,990366.688600825,1045787.2839888544,916233.615784139,1311042.285491399
2011-08-31,887751.5797222962,1126987.7840403381,855858.151977064,855624.076211036,883517.7017706544,932959.0621408529,817289.8105871098,1185445.7319420327
2011-09-30,887751.5797222962,1149220.0796518957,855858.151977064,855624.076211036,883517.7017706544,932959.0621408529,817289.8105871098,1208831.2460377156
2011-10-31,887751.5797222962,1173353.7065412959,855858.151977064,855624.076211036,883517.7017706544,932959.0621408529,817289.8105871098,1234216.7046094078
2011-11-30,904579.0608870297,1211529.7893437229,872079.1145352641,871841.2610942335,900264.9318172454,925977.5580035906,832781.6774692507,1243031.7783632772
2011-12-31,903677.6284717675,1227401.8398285797,871294.8655893821,871019.8422950107,899367.7985431909,925054.8015584393,831951.792692264,1259852.544607733
2012-01-31,918530.7586082218,1252845.49561661,884916.6801033372,885195.252701949,914150.0906414856,940259.2931343252,845626.0142779837,1285968.888183155
2012-02-29,1018312.1244318037,1387907.8179602101,979779.7357000343,981362.4350808307,1013455.5720888093,1030563.4402962124,927380.1975718987,1408752.1742762746
2012-03-31,1122235.5424983937,1526485.0418184379,1079770.7183080711,1081514.942596284,1116883.3518236987,1135737.3095102324,1009419.1300077753,1549410.8661988848
2012-04-30,1014888.3303116892,1376999.2029048866,976485.4714900292,978062.8506489809,1010048.1037573878,1027098.5916114267,909318.9988315317,1397679.9457991526
2012-05-31,810659.9837460801,1105028.935992918,779485.065982025,781234.2764369587,806793.770378884,820413.1517756057,762274.4474254564,1121625.04556539
2012-06-30,929495.1002043623,1272582.8951372716,870181.5603178056,882719.8345360914,925062.1341191034,940677.9863402366,870483.0410497289,1291695.450159772
2012-07-31,1013045.9095669014,1383574.7962672291,932341.8625413959,952991.4566195792,1008214.469951983,1025234.0045038938,948729.3509725783,1404354.3097300117
2012-08-31,1077344.2622927271,1467003.7945917007,978631.4975277836,1006589.1928171562,1072206.1686578486,1090305.9376480354,1008945.5102026587,1489036.30163252
2012-09-30,1128952.7780921406,1532669.7980365062,1015914.923072046,1049314.0434116346,1123568.5512646819,1142535.3610686904,1057277.4887567125,1555688.5218875986
2012-10-31,1050421.5891796725,1421344.9684760778,961599.7323399535,986328.5529179751,1045411.8961272063,1063059.354950269,983732.1119996291,1442691.7401364832
2012-11-30,1024273.7481392359,1381817.6125975302,944389.5664748882,964018.9232615503,1019388.7603121501,1036596.9264133789,960540.7735966344,1402570.735477928
2012-12-31,1137155.148761623,1538586.024755042,1048467.2265135782,1070259.863690859,1131731.8028925024,1150836.4153445922,1066398.3989913112,1561693.6007195648
2013-01-31,1237020.958954882,1668434.3810111545,1140544.3958742926,1164250.880219426,1231121.3294664444,1251903.7218740685,1160109.9837882193,1693492.1081194668
2013-02-28,1273318.3749790445,1712305.3011184589,1174010.937788341,1198413.032640451,1267245.6345466066,1288637.836026277,1194151.1104888958,1738021.9116157752
2013-03-31,1331301.20115964,1784907.9570025834,1227471.621639117,1252984.9102767182,1324951.926943938,1347318.2598439879,1248528.913436293,1811714.9636858588
2013-04-30,1347385.0663714972,1801141.9402914555,1242301.0890836923,1268122.6119390335,1340959.0844064567,1363595.6317733768,1263612.780690357,1828192.760003959
2013-05-31,1527869.1645558884,2036397.972191597,1408709.0403462944,1437989.3944020646,1520582.4113284322,1546251.1536141168,1429935.783002413,2066982.0273867948
2013-06-30,1501627.0750673262,1995039.5541243225,1384513.5993486068,1413291.0450661867,1494465.476558344,1519693.342715852,1405010.9466610476,2025002.4603991574
2013-07-31,1515421.0251471805,2008462.217089531,1397231.7445796735,1426273.5401507493,1508193.6400345948,1533653.2492972445,1415833.214297422,2038626.714381292
2013-08-31,1438677.2984931725,1900179.5092252716,1326473.342852206,1354044.4072128404,1431815.9223261888,1455986.2105885502,1344132.799293618,1928717.7429840697
2013-09-30,1587661.9944564896,2090690.4505339295,1463838.5638004148,1494264.798893363,1580090.0751108248,1606763.3575018551,1483326.7763849976,2122089.9074980854
2013-10-31,1570570.0081888067,2062811.0500214975,1448079.5997341846,1478178.2807878852,1563079.6045597324,1589465.7357034578,1490200.6277093426,2093791.8004583905
2013-11-30,1698002.1614326052,2223566.9788435516,1565573.1837097534,1598113.9985138031,1689904.0037879492,1718431.0389306427,1611425.3414217464,2256962.0714215557
2013-12-31,1944337.3036550086,2539061.7901785583,1792696.3859950444,1829958.0137917725,1935064.3155766386,1967729.8658243967,1845200.4785534975,2577195.198934941
2014-01-31,1885899.9087595723,2455217.482999836,1738816.5857273317,1774958.308298229,1876905.6224099556,1908589.404326596,1789742.6584392078,2492091.660786654
2014-02-28,2111932.386594993,2745723.9852543524,1947220.5500310126,1987694.0015160467,2101860.0980099943,2137341.303287823,2004250.3126256047,2786961.187571286
2014-03-31,2248386.078764504,2914477.886963028,2073032.0735090948,2116120.5492130886,2237663.0103155067,2275436.6845488,2137508.46756623,2958249.5504308394
2014-04-30,2362577.998981595,3053437.9204862644,2178317.9896710743,2223594.874239233,2351310.318971196,2391002.46850831,2246068.8840425303,3099296.58047933
2014-05-31,2527707.3803123506,3257001.230100248,2330568.7509690383,2379010.2069952367,2515652.1590745556,2558118.5398299927,2403055.008399413,3305917.1426648744
2014-06-30,2946516.938687205,3785339.0583812445,2716714.8964234553,2773182.49997066,2932464.3152248845,2984929.3580506565,2781204.51006542,3846041.31311723
2014-07-31,2975253.61228517,3811184.0901614716,2743210.365595873,2800228.6843236387,2961063.936803326,3014040.6584589193,2808329.287451452,3872300.7993043824
2014-08-31,2935991.132740504,3760326.6496249796,2707010.009529533,2763275.8944922043,2921988.7093459493,2974266.3320132457,2771269.599380745,3820627.802018687
2014-09-30,2494645.988115424,3185566.1358584124,2300085.8527043923,2347893.713804891,2482748.444506991,2527167.573577459,2354685.787532587,3236650.351433552
2014-10-31,2062531.5296815333,2644682.8003650242,1901889.1237016022,1941307.1133892126,2052694.842525078,2089419.8375463663,1946814.7812660262,2687093.3427124843
2014-11-30,2207838.271411356,2822501.726025857,2014711.6262618352,2057928.2236128403,2197308.58190248,2236620.876485948,2085616.4266286404,2867763.7965554143
2014-12-31,2208388.310539543,2814496.2720037093,2017896.8210065302,2060794.9945394814,2197855.999382294,2296579.544868897,2086098.7227816423,2935479.6932348777
2015-01-31,2228530.660934826,2844084.621945595,2033553.4958348705,2076982.7326657106,2217902.286126014,2317526.272902183,2105125.689702261,2966333.389603421
