date,equity,peak,dd_pct
2025-01-06,56549680.09632401,95022487.32464807,-40.48810793268355
2025-01-06,56544835.016424015,95022487.32464807,-40.49320680984032
2025-01-06,56598019.178515024,95022487.32464807,-40.43723672992724
2025-01-07,56640280.612821765,95022487.32464807,-40.39276153726853
2025-01-07,56710774.79700534,95022487.32464807,-40.31857469353465
2025-01-07,56650213.54660534,95022487.32464807,-40.38230829187026
2025-01-07,56631340.77870534,95022487.32464807,-40.40216966198523
2025-01-07,56627483.70120534,95022487.32464807,-40.40622878273506
2025-01-07,56649802.59030534,95022487.32464807,-40.382740775076684
2025-01-07,56616921.896705344,95022487.32464807,-40.41734384065174
2025-01-08,56665816.37569827,95022487.32464807,-40.36588814803671
2025-01-08,56677427.463382065,95022487.32464807,-40.353668842890414
2025-01-08,56723719.220016964,95022487.32464807,-40.30495220966154
2025-01-08,56833117.845498115,95022487.32464807,-40.18982301386668
2025-01-08,56884611.037362285,95022487.32464807,-40.1356324813791
2025-01-08,56939693.19865429,95022487.32464807,-40.077664980377136
2025-01-08,56940286.96145429,95022487.32464807,-40.07704011481456
2025-01-08,56930212.66755429,95022487.32464807,-40.08764212512142
2025-01-08,56935026.61615429,95022487.32464807,-40.08257600999905
2025-01-08,56940651.64325429,95022487.32464807,-40.07665633008079
2025-01-08,56961718.669954285,95022487.32464807,-40.05448576046812
2025-01-10,56930458.81006979,95022487.32464807,-40.087383089052764
2025-01-10,57037123.53377985,95022487.32464807,-39.9751310035589
2025-01-10,56757761.55857047,95022487.32464807,-40.26912664930003
2025-01-10,56704211.071170464,95022487.32464807,-40.32548224354694
2025-01-10,56106316.616473995,95022487.32464807,-40.95469588710664
2025-01-10,56089536.237674,95022487.32464807,-40.9723552636105
2025-01-10,56048276.199273996,95022487.32464807,-41.01577660477056
2025-01-10,56086388.242874,95022487.32464807,-40.97566815815645
2025-01-10,56060920.703474,95022487.32464807,-41.00246975019749
2025-01-13,56053827.08504763,95022487.32464807,-41.00993494988452
2025-01-13,56092985.66569567,95022487.32464807,-40.96872514602594
2025-01-13,56103148.13236077,95022487.32464807,-40.958030344246666
2025-01-13,56056287.36710899,95022487.32464807,-41.00734579216972
2025-01-13,55988306.60672774,95022487.32464807,-41.07888755275213
2025-01-13,55914375.1441574,95022487.32464807,-41.15669172800777
2025-01-13,55878940.00604063,95022487.32464807,-41.193983046215116
